ID_Cultivo;Nombre;ID_Campo;Campo;ID_Lote;Lote;Actividad;Actividad;Especie;Especie;Has a aplicar;Hectáreas;Puerto;Hectáreas Sembradas;Hectáreas Cosechadas;Puerto;Distancia Puerto;Código Sima;Coordenadas;Activo;ID_Dimension;Dimensión;ID_IT_Dimension;IT_Dimension;Socio;Ciclo;Peso 1000;Densidad;Años Rot/Dir;% E.G.;Antecesor;Pl.Nacidas;Pl.Cosecha;Nitrógeno PPM;Nitrógeno KG;Fosforo PPM;Fosforo KG;Materia Orgánica Sulfato;Materia Orgánica Total;Nitrógeno PPP 0-20;Nitrógeno KG 0-20;Nitrógeno PPP 20-40;Nitrógeno KG 20-40;Nitrógeno PPP 40-60;Nitrógeno KG 40-60;Azufre PPM;Azufre KG;Personal Responsable;Hectáreas Perdidas;Hectáreas No Cosechadas;Responsable;Zona;Categoría de semilla;Rinde Esperado;Es de agricultura intensiva
1254;LA TERESA 211 ARROZ 26/27;245;LA TERESA;753;211;50;ARROZ;42;ARROZ;;32,8;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 211 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1255;LA TERESA 213 ARROZ 26/27;245;LA TERESA;754;213;50;ARROZ;42;ARROZ;;26,52;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 213 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1256;LA TERESA 214 ARROZ 26/27;245;LA TERESA;821;214;50;ARROZ;42;ARROZ;;24,22;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 214 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1257;LA TERESA 216 ARROZ 26/27;245;LA TERESA;823;216;50;ARROZ;42;ARROZ;;19,95;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 216 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1258;LA TERESA 217 ARROZ 26/27;245;LA TERESA;824;217;50;ARROZ;42;ARROZ;;11,8;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 217 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1259;LA TERESA 218 ARROZ 26/27;245;LA TERESA;825;218;50;ARROZ;42;ARROZ;;18,2;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA 218 ARROZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1263;LA TERESA A RECUPERAR RH 26/27;245;LA TERESA;1084;A RECUPERAR RH;88;A RECUPERAR RH;91;A RECUPERAR RH;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA A RECUPERAR RH A RECUPERAR RH 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1264;LA TERESA MANTENIMIENTO DE BOMBAS 26/27;245;LA TERESA;1197;MANTENIMIENTO DE BOMBAS;95;MANTENIMIENTO DE BOMBAS;98;MANTENIMIENTO DE BOMBAS;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA MANTENIMIENTO DE BOMBAS 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1265;LA TERESA OPERATIVO 26/27;245;LA TERESA;937;Operativos;70;OPERATIVO;73;OPERATIVO;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA Operativos OPERATIVO 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1266;LA TERESA Patio vivienda Arrozal 26/27;245;LA TERESA;1152;Patio vivienda Arrozal;92;CUIDADOS DE PATIOS VIVIENDA;95;PATIO VIVIENDA;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA Patio vivienda Arrozal CUIDADOS DE PATIO;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1267;LA TERESA PISTAS SILO BOLSA 26/27;245;LA TERESA;1195;PISTAS SILO BOLSA;88;A RECUPERAR RH;91;A RECUPERAR RH;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA PISTAS SILO BOLSA 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1268;LA TERESA Secadero 26/27;245;LA TERESA;1075;Secadero;91;SECADERO;94;SECADERO;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA SECADERO 25/26, LA TERESA Secadero MAIZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1269;LA TERESA SILO BOLSAS 26/27;245;LA TERESA;1085;SILO BOLSAS;90;CUIDADOS DE PATIOS SILO;93;SILO BOLSAS;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA SILO BOLSAS CUIDADOS DE PATIOS GENERAL;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1271;LA TERESA Secadero SOJA 26/27;245;LA TERESA;1075;Secadero;53;SOJA;36;SOJA;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA SECADERO 25/26, LA TERESA Secadero MAIZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1272;LA TERESA Secadero MAIZ 26/27;245;LA TERESA;1075;Secadero;49;MAIZ;34;MAIZ;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA SECADERO 25/26, LA TERESA Secadero MAIZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
1273;LA TERESA Secadero ARROZ 26/27;245;LA TERESA;1075;Secadero;50;ARROZ;42;ARROZ;;0,01;61;0;0;BELLA VISTA  - AMAMBAY;0;;;Si;1;Campaña;996;26/27;;0;0;0;0;0;LA TERESA SECADERO 25/26, LA TERESA Secadero MAIZ 25/26;;;;;;;;;;;;;;;;;56;0;0;RAFAEL HEISECKE;CENTRO;;0;No
