actividad,campo,lote,zona,estadio,servicio,fechaTeorica,mes,tipoInsumo,insumo,unidadMedida,ordenTrabajo,contratista,fechaReal,dosisTeoricas,hectareasTeoricas,dosisReales,hectareasReales,totalAplicado,estado,facturada,fechaFacturacion,responsable,precioUnitario,costoLabor,costoInsumo,empresa,cultivo,categoria,insumoServicio,tipoInsumoServicio,fecha,unidadesDosis,total,socio,puntoStock,numeroOrdenTrabajo,referencia,cateogria_Hacienda,agrupadorCategoriaHacienda,rodeoHacienda,tipoHacienda,cantidadAnimales,negocioHacienda,hsPersonal,hsMaquinarias,iD_IT_Orden_Trabajo,personal,referenciaAsiento,campania,tercero,cantidadResultado,observaciones,descripcion,recursosPersonal,recursosMaquinaria,tipoItem,toneladas,tarifaCatac,cultivoTercero,velocidadAplicacion,velocidadViento,estadoClima,caudal
ARROZ,LA TERESA,Secadero,CENTRO,Secadero,,2026-07-22T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4128,,2026-07-22T00:00:00,6000,0.01,6000,0.01,60,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,77.292,Desarrollo del Sur SA,LA TERESA Secadero ARROZ 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-22T00:00:00,60,77.292,,SURTIDOR CENTRAL,0045430,2026 - OT - 4128,,,,,0,,0,0,107524,VIctor Alcaraz,2026 - STK - 9198,26/27,,0,Desague patio silo bolsa - Tr New Holland 7205,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Corte de Muro retro excavadora x Hs,2026-07-22T00:00:00,7,,,Horas,4129,Cedrela S.A,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.2734,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Corte de Muro retro excavadora x Hs,CUIDADOS,2026-07-22T00:00:00,0.01,0.7427,,,,2026 - OT - 4129,,,,,0,,0,0,107525,,,26/27,,,Cortar muro protección Duarte 1 y Duarte 2 ,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Construccion de Puentes retro excavadora x Hs,2026-07-22T00:00:00,7,,,Horas,4130,Cedrela S.A,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.2734,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Construccion de Puentes retro excavadora x Hs,MANT.INFRAESTRUCTURA,2026-07-22T00:00:00,0.01,0.7427,,,,2026 - OT - 4130,,,,,0,,0,0,107526,,,26/27,,,Construcion de puente de número 21 zona de cambuchi viejo camino principal.,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-22T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4131,,2026-07-22T00:00:00,4000,0.01,4000,0.01,40,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,51.528,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-22T00:00:00,40,51.528,,SURTIDOR CENTRAL,0045431,2026 - OT - 4131,,,,,0,,0,0,107527,Fretes Maidana Ramón,2026 - STK - 9199,26/27,,0,Logistica personal - Tr 14,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,Secadero,CENTRO,,Tractor x Hs bomba lata,2026-07-21T00:00:00,7,,,Horas,4127,Cedrela S.A,,1,0.01,0,,,Pendiente,NO,,RAFAEL HEISECKE,21.43,,0,Desarrollo del Sur SA,LA TERESA Secadero ARROZ 26/27,Servicio,Tractor x Hs bomba lata,CUIDADOS,2026-07-21T00:00:00,0.01,0.2143,,,,2026 - OT - 4127,,,,,0,,0,0,107026,,,26/27,,,Desagüe patio silo bolsa (200.000 gs x Hs) ,,,,Labor Tercero,,,,,,,
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-20T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4125,,2026-07-20T00:00:00,3090,0.01,3090,0.01,30.9,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,39.827,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-20T00:00:00,30.9,39.827,,SURTIDOR CENTRAL,0045427,2026 - OT - 4125,,,,,0,,0,0,106814,Ernesto Segovia,2026 - STK - 9194,26/27,,0,Logistica traslado de personal - Tr 14,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Construccion de Puentes retro excavadora x Hs,2026-07-20T00:00:00,7,,,Horas,4126,Cedrela S.A,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.3098,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Construccion de Puentes retro excavadora x Hs,MANT.INFRAESTRUCTURA,2026-07-20T00:00:00,0.01,0.7431,,,,2026 - OT - 4126,,,,,0,,0,0,106825,,,26/27,,,Contrición de puente numero 23 cambuchi viejo ,,,,Labor Tercero,,,,0,0,,0
SOJA,LA TERESA,.21A,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4113,Agro Continental S.A.,,1,30.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA .21A SOJA 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,30.01,990.33,,,,2026 - OT - 4113,,,,,0,,0,0,106691,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Mantenimientos de infraestructura,,2026-07-19T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4114,,2026-07-19T00:00:00,27500,0.01,27500,0.01,275,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,354.4475,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-19T00:00:00,275,354.4475,,SURTIDOR CENTRAL,0045422,2026 - OT - 4114,,,,,0,,0,0,106717,Vargas Acosta Diego,2026 - STK - 9189,26/27,,0,Arreglo de camino - Motoniveladora,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,202B,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4115,Agro Continental S.A.,,1,39.77,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 202B ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,39.77,1312.41,,,,2026 - OT - 4115,,,,,0,,0,0,106718,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,202A,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4116,Agro Continental S.A.,,1,21.57,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 202A ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,21.57,711.81,,,,2026 - OT - 4116,,,,,0,,0,0,106719,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,202A,CENTRO,,Pasada retropala x Hs,2026-07-19T00:00:00,7,,,Horas,4117,Cedrela S.A,,1,21.57,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,45.4115,0,0,Desarrollo del Sur SA,LA TERESA 202A ARROZ 26/27,Servicio,Pasada retropala x Hs,PREPARACION DE SUELO,2026-07-19T00:00:00,21.57,979.5261,,,,2026 - OT - 4117,,,,,0,,0,0,106720,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,.31B,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4118,Cedrela S.A,,1,47,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA .31B ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,47,1551,,,,2026 - OT - 4118,,,,,0,,0,0,106721,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,.36D,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4119,Agro Continental S.A.,,1,20.15,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA .36D ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,20.15,664.95,,,,2026 - OT - 4119,,,,,0,,0,0,106722,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,.33A,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4120,Cedrela S.A,,1,49.42,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA .33A ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,49.42,1630.86,,,,2026 - OT - 4120,,,,,0,,0,0,106723,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
SOJA,LA TERESA,.20,CENTRO,,Subsolador,2026-07-19T00:00:00,7,,,,4121,Agro Continental S.A.,,1,36.59,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,48,0,0,Desarrollo del Sur SA,LA TERESA .20 SOJA 26/27,Servicio,Subsolador,PREPARACION DE SUELO,2026-07-19T00:00:00,36.59,1756.32,,,,2026 - OT - 4121,,,,,0,,0,0,106724,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,.27J/K,CENTRO,,1° Plaina,2026-07-19T00:00:00,7,,,,4122,Agro Continental S.A.,,1,26.46,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA .27J/K ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-19T00:00:00,26.46,873.18,,,,2026 - OT - 4122,,,,,0,,0,0,106725,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-19T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4123,,2026-07-19T00:00:00,7312,0.01,7312,0.01,73.12,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,94.2444,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-19T00:00:00,73.12,94.2444,,SURTIDOR CENTRAL,0045424,2026 - OT - 4123,,,,,0,,0,0,106726,Freitas Dos Santos Valdecir ,2026 - STK - 9191,26/27,,0,Logistica - Amarok,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-19T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4124,,2026-07-19T00:00:00,3436,0.01,3436,0.01,34.36,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,44.2866,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-19T00:00:00,34.36,44.2866,,SURTIDOR CENTRAL,0045425,2026 - OT - 4124,,,,,0,,0,0,106727,Báez Humberto ,2026 - STK - 9192,26/27,,0,Logistica - D20,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Mantenimientos de infraestructura,,2026-07-18T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4097,,2026-07-18T00:00:00,20000,0.01,20000,0.01,200,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,257.78,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-18T00:00:00,200,257.78,,SURTIDOR CENTRAL,0045409,2026 - OT - 4097,,,,,0,,0,0,106550,Vargas Acosta Diego,2026 - STK - 9176,26/27,,0,Arreglo de camino - Motoniveladora,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-18T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4098,,2026-07-18T00:00:00,10190,0.01,10190,0.01,101.9,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,131.3389,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-18T00:00:00,101.9,131.3389,,SURTIDOR CENTRAL,0045414,2026 - OT - 4098,,,,,0,,0,0,106551,Guido Rodriguez,2026 - STK - 9181,26/27,,0,Desalijo de karandaý (20 hs) - Tr 3j John Deere,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,137,CENTRO,,Limpieza de valo retro excavadora x Hs,2026-07-18T00:00:00,7,,,Horas,4101,Cedrela S.A,,1,87.95,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,74.3098,0,0,Desarrollo del Sur SA,LA TERESA 137 ARROZ 26/27,Servicio,Limpieza de valo retro excavadora x Hs,MANT.INFRAESTRUCTURA,2026-07-18T00:00:00,87.95,6535.5469,,,,2026 - OT - 4101,,,,,0,,0,0,106556,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,142,CENTRO,,1° Plaina,2026-07-18T00:00:00,7,,,,4102,Cedrela S.A,,1,41,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 142 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-18T00:00:00,41,1353,,,,2026 - OT - 4102,,,,,0,,0,0,106557,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,142,CENTRO,Preparacion de Suelo,Pasada retropala x Hs,2026-07-18T00:00:00,7,,,Horas,4103,Cedrela S.A,,1,41,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,45.4115,0,0,Desarrollo del Sur SA,LA TERESA 142 ARROZ 26/27,Servicio,Pasada retropala x Hs,PREPARACION DE SUELO,2026-07-18T00:00:00,41,1861.8715,,,,2026 - OT - 4103,,,,,0,,0,0,106558,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
SOJA,LA TERESA,.09E,CENTRO,,Valeteadora x hora agrimec ,2026-07-18T00:00:00,7,,,Horas,4104,Agro Continental S.A.,,1,32.81,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33.0266,0,0,Desarrollo del Sur SA,LA TERESA .09E SOJA 26/27,Servicio,Valeteadora x hora agrimec ,PREPARACION DE SUELO,2026-07-19T00:00:00,32.81,1083.6027,,,,2026 - OT - 4104,,,,,0,,0,0,106559,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
SOJA,LA TERESA,.09B,CENTRO,,Valeteadora x hora agrimec ,2026-07-18T00:00:00,7,,,Horas,4105,Agro Continental S.A.,,1,14.88,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33.0266,0,0,Desarrollo del Sur SA,LA TERESA .09B SOJA 26/27,Servicio,Valeteadora x hora agrimec ,PREPARACION DE SUELO,2026-07-18T00:00:00,14.88,491.4358,,,,2026 - OT - 4105,,,,,0,,0,0,106560,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,207,CENTRO,,1° Plaina,2026-07-18T00:00:00,7,,,,4106,Agro Continental S.A.,,1,28.5,0,,,Pendiente,NO,,RAFAEL HEISECKE,33,,0,Desarrollo del Sur SA,LA TERESA 207 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-18T00:00:00,28.5,940.5,,,,2026 - OT - 4106,,,,,0,,0,0,106561,,,26/27,,,,,,,Labor Tercero,,,,,,,
OPERATIVO,LA TERESA,Operativos,CENTRO,Preparacion de Suelo,,2026-07-18T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4108,,2026-07-18T00:00:00,4803,0.01,4803,0.01,48.03,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,61.9059,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-18T00:00:00,48.03,61.9059,,SURTIDOR CENTRAL,0045415,2026 - OT - 4108,,,,,0,,0,0,106563,Fariña Edilson,2026 - STK - 9182,26/27,,0,Limpieza de valo - Sany Neumatico,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Generador combustible,,2026-07-18T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4110,,2026-07-18T00:00:00,18635,0.01,18635,0.01,186.35,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,240.1865,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-18T00:00:00,186.35,240.1865,,SURTIDOR CENTRAL,0045419,2026 - OT - 4110,,,,,0,,0,0,106565,Cabañas Roman Leonardo,2026 - STK - 9186,26/27,,0,Abastecer generador.,,,,Insumo,0,0,,0,0,,0
PARCELA SOJA,LA TERESA,PARCELA SOJA,CENTRO,Preparacion de Suelo,,2026-07-18T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4111,,2026-07-18T00:00:00,20005,0.01,20005,0.01,200.05,Confirmado,NO,,RAFAEL HEISECKE,1.2889,0,257.8444,Desarrollo del Sur SA,LA TERESA PARCELA SOJA 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-18T00:00:00,200.05,257.8444,,SURTIDOR CENTRAL,0045420,2026 - OT - 4111,,,,,0,,0,0,106566,Claudelino Ayala,2026 - STK - 9187,26/27,,0,Valeteada por hora en parcela de soja (27.1 hs) - Tr 07 AC,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-17T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4081,,2026-07-17T00:00:00,6150,0.01,6150,0.01,61.5,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,79.2243,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-17T00:00:00,61.5,79.2243,,SURTIDOR CENTRAL,0045400,2026 - OT - 4081,,,,,0,,0,0,106529,Báez Humberto ,2026 - STK - 9167,26/27,,0,Logistica - D20,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,,Fletes,2026-07-17T00:00:00,7,,,Dosis,4082,Agro Continental S.A.,,1,0.01,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,26.4068,0,0,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Servicio,Fletes,OPERATIVOS,2026-07-17T00:00:00,0.01,0.2641,,,,2026 - OT - 4082,,,,,0,,0,0,106530,,,26/27,,,Traslado de soja del tinglado al silo aéreo (7gs x kg),,,,Labor Tercero,,,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-17T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4083,,2026-07-17T00:00:00,12932,0.01,12932,0.01,129.32,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,166.59,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-17T00:00:00,129.32,166.59,,SURTIDOR CENTRAL,0045001,2026 - OT - 4083,,,,,0,,0,0,106531,Fariña Edilson,2026 - STK - 9168,26/27,,0,Traslado de karandaý para puentes - Sany Neumatica ,,,,Insumo,0,0,,0,0,,0
PARCELA ARROZ,LA TERESA,PARCELA ARROZ,CENTRO,Preparacion de Suelo,,2026-07-17T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4084,,2026-07-17T00:00:00,9300,0.01,9300,0.01,93,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,119.8026,Desarrollo del Sur SA,LA TERESA PARCELA ARROZ 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-17T00:00:00,93,119.8026,,SURTIDOR CENTRAL,0045402,2026 - OT - 4084,,,,,0,,0,0,106532,Juan Gest,2026 - STK - 9169,26/27,,0,Remonte de taipa parcela de Arroz - Tr Case 230,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Mantenimientos de infraestructura,,2026-07-17T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4085,,2026-07-17T00:00:00,25300,0.01,25300,0.01,253,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,325.9146,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-17T00:00:00,253,325.9146,,SURTIDOR CENTRAL,0045406,2026 - OT - 4085,,,,,0,,0,0,106533,Vargas Acosta Diego,2026 - STK - 9173,26/27,,0,Perfilada de camino - Motoniveladora ,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,149/150,CENTRO,,1° Plaina,2026-07-17T00:00:00,7,,,,4086,Cedrela S.A,,1,25.86,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 149/150 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-17T00:00:00,25.86,853.38,,,,2026 - OT - 4086,,,,,0,,0,0,106535,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
SOJA,LA TERESA,.11C,CENTRO,,Valeteadora x hora agrimec ,2026-07-17T00:00:00,7,,,Horas,4087,Agro Continental S.A.,,1,39.14,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33.0085,0,0,Desarrollo del Sur SA,LA TERESA .11C SOJA 26/27,Servicio,Valeteadora x hora agrimec ,PREPARACION DE SUELO,2026-07-17T00:00:00,39.14,1291.9527,,,,2026 - OT - 4087,,,,,0,,0,0,106539,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
SOJA,LA TERESA,.11B,CENTRO,,Valeteadora x hora agrimec ,2026-07-17T00:00:00,7,,,Horas,4088,Agro Continental S.A.,,1,41.48,0,,,Pendiente,NO,,RAFAEL HEISECKE,33.0085,,0,Desarrollo del Sur SA,LA TERESA .11B SOJA 26/27,Servicio,Valeteadora x hora agrimec ,PREPARACION DE SUELO,2026-07-17T00:00:00,41.48,1369.1926,,,,2026 - OT - 4088,,,,,0,,0,0,106540,,,26/27,,,,,,,Labor Tercero,,,,,,,
SOJA,LA TERESA,.09D,CENTRO,,Valeteadora x hora agrimec ,2026-07-17T00:00:00,7,,,Horas,4089,Agro Continental S.A.,,1,30.3,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33.0266,0,0,Desarrollo del Sur SA,LA TERESA .09D SOJA 26/27,Servicio,Valeteadora x hora agrimec ,PREPARACION DE SUELO,2026-07-18T00:00:00,30.3,1000.706,,,,2026 - OT - 4089,,,,,0,,0,0,106541,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,140,CENTRO,,1° Plaina,2026-07-17T00:00:00,7,,,,4090,Agro Continental S.A.,,1,77.71,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 140 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-17T00:00:00,77.71,2564.43,,,,2026 - OT - 4090,,,,,0,,0,0,106542,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,148A,CENTRO,,1° Plaina,2026-07-17T00:00:00,7,,,,4091,Cedrela S.A,,1,13.9,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 148 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-17T00:00:00,13.9,458.7,,,,2026 - OT - 4091,,,,,0,,0,0,106544,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,204,CENTRO,,1° Plaina,2026-07-17T00:00:00,7,,,,4092,Agro Continental S.A.,,1,78.18,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 204 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-17T00:00:00,78.18,2579.94,,,,2026 - OT - 4092,,,,,0,,0,0,106545,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
ARROZ,LA TERESA,135,CENTRO,,1° Plaina,2026-07-17T00:00:00,7,,,,4093,Cedrela S.A,,1,53.42,0,0,0,En Ejecución,NO,,RAFAEL HEISECKE,33,0,0,Desarrollo del Sur SA,LA TERESA 135 ARROZ 26/27,Servicio,1° Plaina,PREPARACION DE SUELO,2026-07-17T00:00:00,53.42,1762.86,,,,2026 - OT - 4093,,,,,0,,0,0,106546,,,26/27,,,,,,,Labor Tercero,,,,0,0,,0
SOJA,LA TERESA,.04,CENTRO,,Subsolador,2026-07-17T00:00:00,7,,,,4094,Agro Continental S.A.,,1,19.79,0,,,Pendiente,NO,,RAFAEL HEISECKE,48,,0,Desarrollo del Sur SA,LA TERESA .04 SOJA 26/27,Servicio,Subsolador,PREPARACION DE SUELO,2026-07-17T00:00:00,19.79,949.92,,,,2026 - OT - 4094,,,,,0,,0,0,106547,,,26/27,,,,,,,Labor Tercero,,,,,,,
OPERATIVO,LA TERESA,Operativos,CENTRO,Generador combustible,,2026-07-17T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4095,,2026-07-17T00:00:00,19156,0.01,19156,0.01,191.56,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,246.7676,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-17T00:00:00,191.56,246.7676,,SURTIDOR CENTRAL,0045407,2026 - OT - 4095,,,,,0,,0,0,106548,Cabañas Roman Leonardo,2026 - STK - 9174,26/27,,0,Abastecer generador.,,,,Insumo,0,0,,0,0,,0
OPERATIVO,LA TERESA,Operativos,CENTRO,Operativo,,2026-07-17T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4096,,2026-07-17T00:00:00,6809,0.01,6809,0.01,68.09,Confirmado,NO,,RAFAEL HEISECKE,1.2882,0,87.7135,Desarrollo del Sur SA,LA TERESA OPERATIVO 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-17T00:00:00,68.09,87.7135,,SURTIDOR CENTRAL,0045408,2026 - OT - 4096,,,,,0,,0,0,106549,Hermosa Baez Fernando Manuel,2026 - STK - 9175,26/27,,0,Logistica - AAOZ829,,,,Insumo,0,0,,0,0,,0
PARCELA SOJA,LA TERESA,PARCELA SOJA,CENTRO,Preparacion de Suelo,,2026-07-16T00:00:00,7,COMBUSTIBLES,GASOIL,Litros,4058,,2026-07-16T00:00:00,15587,0.01,15587,0.01,155.87,Confirmado,NO,,RAFAEL HEISECKE,1.2885,0,200.8385,Desarrollo del Sur SA,LA TERESA PARCELA SOJA 26/27,Insumo,GASOIL,COMBUSTIBLES,2026-07-16T00:00:00,155.87,200.8385,,SURTIDOR CENTRAL,0045392,2026 - OT - 4058,,,,,0,,0,0,106499,Diosnel Martinez,2026 - STK - 9159,26/27,,0,Valeteada por hora parcelas de Soja (16.7hs) - Tr 07 AC,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,.40B,CENTRO,,Remonte de taipa x Hs,2026-07-16T00:00:00,7,,,Horas,4059,Cedrela S.A,,1,42.9,0,,,Pendiente,NO,,RAFAEL HEISECKE,26.4137,,0,Desarrollo del Sur SA,LA TERESA .40B ARROZ 26/27,Servicio,Remonte de taipa x Hs,PREPARACION DE SUELO,2026-07-16T00:00:00,42.9,1133.1477,,,,2026 - OT - 4059,,,,,0,,0,0,106500,,,26/27,,,,,,,Labor Tercero,,,,,,,
