actividad,campo,lote,zona,estadio,servicio,fechaTeorica,mes,tipoInsumo,insumo,unidadMedida,ordenTrabajo,contratista,fechaReal,dosisTeoricas,hectareasTeoricas,dosisReales,hectareasReales,totalAplicado,estado,facturada,fechaFacturacion,responsable,precioUnitario,costoLabor,costoInsumo,empresa,cultivo,categoria,insumoServicio,tipoInsumoServicio,fecha,unidadesDosis,total,socio,puntoStock,numeroOrdenTrabajo,referencia,cateogria_Hacienda,agrupadorCategoriaHacienda,rodeoHacienda,tipoHacienda,cantidadAnimales,negocioHacienda,hsPersonal,hsMaquinarias,iD_IT_Orden_Trabajo,personal,referenciaAsiento,campania,tercero,cantidadResultado,observaciones,descripcion,recursosPersonal,recursosMaquinaria,tipoItem,toneladas,tarifaCatac,cultivoTercero,velocidadAplicacion,velocidadViento,estadoClima,caudal
AVENA,LA TERESA,.19C,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Weedex Max,Litros,1978,,2026-03-12T00:00:00,0.1788,42.51,0.1788,42.51,7.6,Confirmado,NO,,RAFAEL HEISECKE,2.6,0,19.8185,Desarrollo del Sur SA,LA TERESA .19C AVENA 26/27,Insumo,Weedex Max,HERBICIDAS,2026-03-12T00:00:00,7.6,19.76,,DEP INSUMOS,,2026 - OT - 1978,,,,,0,,0,0,81235,,2026 - STK - 5948,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.19B,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,,,,1981,Agro Continental S.A.,2026-03-12T00:00:00,1,28.77,1,28.77,28.77,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,9,258.93,0,Desarrollo del Sur SA,LA TERESA .19B AVENA 26/27,Servicio,Desecacion imperator,PREPARACION DE SUELO,2026-03-12T00:00:00,28.77,258.93,,,,2026 - OT - 1981,,,,,0,,0,0,81237,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
AVENA,LA TERESA,.19B,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Kalium,Litros,1981,,2026-03-12T00:00:00,3.5091,28.44,3.5091,28.44,99.8,Confirmado,NO,,RAFAEL HEISECKE,3.7,0,370.3578,Desarrollo del Sur SA,LA TERESA .19B AVENA 26/27,Insumo,Kalium,HERBICIDAS,2026-03-12T00:00:00,99.8,369.26,,DEP INSUMOS,,2026 - OT - 1981,,,,,0,,0,0,81238,,2026 - STK - 5973,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.19A,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,,,,1982,Agro Continental S.A.,2026-03-12T00:00:00,1,26.07,1,26.07,26.07,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,9,234.63,0,Desarrollo del Sur SA,LA TERESA .19A AVENA 26/27,Servicio,Desecacion imperator,PREPARACION DE SUELO,2026-03-12T00:00:00,26.07,234.63,,,,2026 - OT - 1982,,,,,0,,0,0,81239,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
AVENA,LA TERESA,.19A,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Kalium,Litros,1982,,2026-03-12T00:00:00,3.5004,25.94,3.5004,25.94,90.8,Confirmado,NO,,RAFAEL HEISECKE,3.7,0,336.9588,Desarrollo del Sur SA,LA TERESA .19A AVENA 26/27,Insumo,Kalium,HERBICIDAS,2026-03-12T00:00:00,90.8,335.96,,DEP INSUMOS,,2026 - OT - 1982,,,,,0,,0,0,81240,,2026 - STK - 5975,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21D,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,,,,1979,Agro Continental S.A.,2026-03-12T00:00:00,1,29.3,1,29.3,29.3,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,9,263.7,0,Desarrollo del Sur SA,LA TERESA .21D AVENA 26/27,Servicio,Desecacion imperator,PREPARACION DE SUELO,2026-03-12T00:00:00,29.3,263.7,,,,2026 - OT - 1979,,,,,0,,0,0,81256,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
AVENA,LA TERESA,.21D,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,COADYUVANTE,Agriker Aqua,Litros,1979,,2026-03-12T00:00:00,0.051,29.44,0.051,29.44,1.5,Confirmado,NO,,RAFAEL HEISECKE,0.0001,0,0.0002,Desarrollo del Sur SA,LA TERESA .21D AVENA 26/27,Insumo,Agriker Aqua,COADYUVANTE,2026-03-12T00:00:00,1.5,0.0002,,INSUMOS EN DEPOSITOS DE TERCEROS,,2026 - OT - 1979,,,,,0,,0,0,81257,,2026 - STK - 5957,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21D,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Glifotec Gold,Litros,1979,,2026-03-12T00:00:00,3.0435,29.44,3.0435,29.44,89.6,Confirmado,NO,,RAFAEL HEISECKE,3.3056,0,297.0688,Desarrollo del Sur SA,LA TERESA .21D AVENA 26/27,Insumo,Glifotec Gold,HERBICIDAS,2026-03-12T00:00:00,89.6,296.1818,,DEP INSUMOS,,2026 - OT - 1979,,,,,0,,0,0,81258,,2026 - STK - 5958,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21D,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,FUEL 72 DMA,Litros,1979,,2026-03-12T00:00:00,1.2194,29.44,1.2194,29.44,35.9,Confirmado,NO,,RAFAEL HEISECKE,2.7,0,97.2208,Desarrollo del Sur SA,LA TERESA .21D AVENA 26/27,Insumo,FUEL 72 DMA,HERBICIDAS,2026-03-12T00:00:00,35.9,96.93,,DEP INSUMOS,,2026 - OT - 1979,,,,,0,,0,0,81259,,2026 - STK - 5959,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21D,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Weedex Max,Litros,1979,,2026-03-12T00:00:00,0.18,29.44,0.18,29.44,5.3,Confirmado,NO,,RAFAEL HEISECKE,2.6,0,13.8208,Desarrollo del Sur SA,LA TERESA .21D AVENA 26/27,Insumo,Weedex Max,HERBICIDAS,2026-03-12T00:00:00,5.3,13.78,,DEP INSUMOS,,2026 - OT - 1979,,,,,0,,0,0,81260,,2026 - STK - 5960,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21C,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,,,,1980,Agro Continental S.A.,2026-03-12T00:00:00,1,22.69,1,22.69,22.69,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,9,204.21,0,Desarrollo del Sur SA,LA TERESA .21C AVENA 26/27,Servicio,Desecacion imperator,PREPARACION DE SUELO,2026-03-12T00:00:00,22.69,204.21,,,,2026 - OT - 1980,,,,,0,,0,0,81267,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
AVENA,LA TERESA,.21C,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,COADYUVANTE,Agriker Aqua,Litros,1980,,2026-03-12T00:00:00,0.0485,22.69,0.0485,22.69,1.1,Confirmado,NO,,RAFAEL HEISECKE,0.0001,0,0.0001,Desarrollo del Sur SA,LA TERESA .21C AVENA 26/27,Insumo,Agriker Aqua,COADYUVANTE,2026-03-12T00:00:00,1.1,0.0001,,INSUMOS EN DEPOSITOS DE TERCEROS,,2026 - OT - 1980,,,,,0,,0,0,81268,,2026 - STK - 5967,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21C,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Glifotec Gold,Litros,1980,,2026-03-12T00:00:00,3.041,22.69,3.041,22.69,69,Confirmado,NO,,RAFAEL HEISECKE,3.3056,0,228.7695,Desarrollo del Sur SA,LA TERESA .21C AVENA 26/27,Insumo,Glifotec Gold,HERBICIDAS,2026-03-12T00:00:00,69,228.0864,,DEP INSUMOS,,2026 - OT - 1980,,,,,0,,0,0,81269,,2026 - STK - 5968,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21C,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,FUEL 72 DMA,Litros,1980,,2026-03-12T00:00:00,1.2208,22.69,1.2208,22.69,27.7,Confirmado,NO,,RAFAEL HEISECKE,2.7,0,75.0144,Desarrollo del Sur SA,LA TERESA .21C AVENA 26/27,Insumo,FUEL 72 DMA,HERBICIDAS,2026-03-12T00:00:00,27.7,74.79,,DEP INSUMOS,,2026 - OT - 1980,,,,,0,,0,0,81270,,2026 - STK - 5969,26/27,,0,,,,,Insumo,0,0,,0,0,,0
AVENA,LA TERESA,.21C,CENTRO,Preparacion de Suelo,Desecacion imperator,2026-02-28T00:00:00,2,HERBICIDAS,Weedex Max,Litros,1980,,2026-03-12T00:00:00,0.1807,22.69,0.1807,22.69,4.1,Confirmado,NO,,RAFAEL HEISECKE,2.6,0,10.6916,Desarrollo del Sur SA,LA TERESA .21C AVENA 26/27,Insumo,Weedex Max,HERBICIDAS,2026-03-12T00:00:00,4.1,10.66,,DEP INSUMOS,,2026 - OT - 1980,,,,,0,,0,0,81271,,2026 - STK - 5970,26/27,,0,,,,,Insumo,0,0,,0,0,,0
ARROZ,LA TERESA,207,CENTRO,Preparacion de Suelo,2° Disco,2026-02-27T00:00:00,2,,,,1854,Agro Continental S.A.,2026-03-12T00:00:00,1,26.61,1,26.61,26.61,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,33,878.13,0,Desarrollo del Sur SA,LA TERESA 207 ARROZ 26/27,Servicio,2° Disco,PREPARACION DE SUELO,2026-03-12T00:00:00,26.61,878.13,,,,2026 - OT - 1854,,,,,0,,0,0,79532,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,214,CENTRO,Preparacion de Suelo,2° Disco,2026-02-27T00:00:00,2,,,,1855,Agro Continental S.A.,2026-03-12T00:00:00,1,24.22,1,24.22,24.22,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,33,799.26,0,Desarrollo del Sur SA,LA TERESA 214 ARROZ 26/27,Servicio,2° Disco,PREPARACION DE SUELO,2026-03-12T00:00:00,24.22,799.26,,,,2026 - OT - 1855,,,,,0,,0,0,79533,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,205D,CENTRO,Preparacion de Suelo,2° Disco,2026-02-27T00:00:00,2,,,,1857,Agro Continental S.A.,2026-03-12T00:00:00,1,17,1,17,17,Confirmado,SI,2026-04-21T00:00:00,RAFAEL HEISECKE,33,561,0,Desarrollo del Sur SA,LA TERESA 205D ARROZ 26/27,Servicio,2° Disco,PREPARACION DE SUELO,2026-03-12T00:00:00,17,561,,,,2026 - OT - 1857,,,,,0,,0,0,79535,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,206,CENTRO,Preparacion de Suelo,2° Disco,2026-02-27T00:00:00,2,,,,1860,Cedrela S.A,2026-03-05T00:00:00,1,51.15,1,51.15,51.15,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,33,1687.95,0,Desarrollo del Sur SA,LA TERESA 206 ARROZ 26/27,Servicio,2° Disco,PREPARACION DE SUELO,2026-03-05T00:00:00,51.15,1687.95,,,,2026 - OT - 1860,,,,,0,,0,0,79538,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,142,CENTRO,Preparacion de Suelo,1° Disco,2026-02-27T00:00:00,2,,,,1892,Cedrela S.A,2026-03-05T00:00:00,1,40,1,40,40,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,33,1320,0,Desarrollo del Sur SA,LA TERESA 142 ARROZ 26/27,Servicio,1° Disco,PREPARACION DE SUELO,2026-03-05T00:00:00,40,1320,,,,2026 - OT - 1892,,,,,0,,0,0,79591,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,140,CENTRO,Preparacion de Suelo,1° Disco,2026-02-27T00:00:00,2,,,,1893,Cedrela S.A,2026-03-10T00:00:00,1,77.71,1,77.71,77.71,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,33,2564.43,0,Desarrollo del Sur SA,LA TERESA 140 ARROZ 26/27,Servicio,1° Disco,PREPARACION DE SUELO,2026-03-10T00:00:00,77.71,2564.43,,,,2026 - OT - 1893,,,,,0,,0,0,79592,,,26/27,,0,,,,,Labor Tercero,0,0,,0,0,,0
ARROZ,LA TERESA,135,CENTRO,Preparacion de Suelo,Corte de tranca retropala x Hs,2026-02-27T00:00:00,2,,,Horas,1900,Cedrela S.A,2026-03-05T00:00:00,0.131,53.42,0.131,53.42,7,Confirmado,SI,2026-03-13T00:00:00,RAFAEL HEISECKE,42.0318,294.2226,0,Desarrollo del Sur SA,LA TERESA 135 ARROZ 26/27,Servicio,Corte de tranca retropala x Hs,CUIDADOS,2026-03-05T00:00:00,7,294.2226,,,,2026 - OT - 1900,,,,,0,,0,0,79621,,,26/27,,0,OT OK,,,,Labor Tercero,0,0,,0,0,,0
